alpha,CD interp,CDpoints,CL interp,CL points
1,0.00775992607,0.0077,0.1067731854,0.11
2,0.00778139668,0.0078,0.2245279932,0.22
3,0.00795423283,0.008,0.3336959102,0.33
4,0.00827843452,0.0084,0.4397939408,0.44
5,0.00875400175,0.0087,0.5450744969,0.55
6,0.00938093452,0.0093,0.6494035859,0.66
7,0.01015923283,0.0101,0.7510407441,0.7449
8,0.01108889668,0.0111,0.8473207173,0.8439
9,0.01216992607,0.0122,0.9352368883,0.9314
10,0.013402321,0.0134,1.01192645,1.0111
11,0.01478608147,0.0149,1.075057327,1.0704
12,0.01632120748,0.0163,1.12311684,1.1296
13,0.01800769903,0.018,1.155602125,1.1555
14,0.01984555612,0.0197,1.173112286,1.1813
15,0.02183477875,0.0219,1.177342309,1.1754
16,0.02397536692,0.024,1.170978713,1.1695
17,0.131,0.131,1.157496947,1.1539
18,0.2381392848,0.238,1.140860542,1.1383
19,0.2597321417,0.26,1.125122004,1.1278
20,0.28212857,0.282,1.11392545,1.1112
21,0.3053285697,0.3055,1.109910999,1.115
22,0.3293321408,0.329,1.114020903,1.1127
23,0.3541392833,0.3543,1.12470743,1.1241
